group_to_be_attached,central_atom_index,centroid
Br,0,[0.0 0.0 0.0]
C2H5NOCH3,0,[0.9981173664239017 0.009487950611120228 -0.060594567712094566]
C2H5NOH,0,[0.9981173664239017 0.009487950611120228 -0.060594567712094566]
C2H5NONH2,0,[0.9981173664239017 0.009487950611120228 -0.060594567712094566]
CBr3,0,[-0.3333217430403529 0.9428131392892979 0.0]
CCCl3CCl3CCl3,0,[-0.33332232226380853 -0.47123345113618026 -0.8165998187673978]
CCH3CH3CH3,0,[0.999999998273581 -5.3688311246854636e-05 -2.3883116686763494e-05]
CCH3CH3OCH3,0,[0.9976256516011062 -0.034460834491778204 -0.05962809869179464]
CCH3CH3OH,0,[0.9976256516011062 -0.034460834491778204 -0.05962809869179464]
CCH3CH3ONH2,0,[0.9976256516011062 -0.034460834491778204 -0.05962809869179464]
CCl2F,0,[-0.4334686970041382 -0.26553934821746844 -0.8611583729290314]
CCl3,0,[-0.33333912941987837 -0.4714004300335767 -0.8164965764544005]
CClF2,0,[-0.2039834599948414 -0.2884686615946269 -0.9355087275522007]
CF2OH,0,[0.9985051096704837 0.02729619590819957 0.04735465817505545]
CF3,0,[-0.3333391260174467 -0.47140042975905677 -0.8164965780019543]
CH2Br,0,[-0.7645611811475697 0.644551161881067 0.0]
CH2CH3,0,[0.15335394376622677 0.7264873869791207 0.6698497178409456]
CH2Cl,0,[-0.08714465075678986 -0.7944909281650899 -0.6009908276403652]
CH2F,0,[-0.2207566920586487 -0.6441277125202147 -0.7323701064863302]
CH2OCH3,0,[0.9616625554134918 0.13707323059783164 0.2375206495634989]
CH2OH,0,[0.9616625554134918 0.13707323059783164 0.2375206495634989]
CH2ONH2,0,[0.9616625554134918 0.13707323059783164 0.2375206495634989]
CH3,0,[-0.3333217414973776 0.9428131398348005 0.0]
CH4N2OCH3,0,[0.999663803798876 -0.012992593690891462 -0.02243817914951447]
CH4N2OH,0,[0.999663803798876 -0.012992593690891462 -0.02243817914951447]
CH4N2ONH2,0,[0.999663803798876 -0.012992593690891462 -0.02243817914951447]
CHBr2,0,[-0.5058189222509297 0.7751848969124839 -0.3784647850087109]
CHCH3OCH3,0,[0.958320417939278 -0.19463485769654987 0.209139304603729]
CHCH3OH,0,[0.958320417939278 -0.19463485769654987 0.209139304603729]
CHCH3ONH2,0,[0.958320417939278 -0.19463485769654987 0.209139304603729]
CHCl2,0,[-0.4912193932427979 -0.6946710158868648 -0.5254861438600344]
CHF2,0,[-0.42313284653392824 -0.5983846128928523 -0.680363468476348]
CHFOH,0,[0.972270204589758 -0.07149531273548829 0.22266357924870628]
CHO2H2,0,[-0.4409014049050802 0.8708767710755096 0.21720865717972881]
Cl,0,[0.0 0.0 0.0]
CO2H,0,[0.5589344291424716 -0.8292115723303045 0.0006871918826432219]
CO3H3,0,[-0.33332173945647653 0.9428131405563399 0.0]
F,0,[0.0 0.0 0.0]
NBr2,0,[0.5773452861812634 -0.40825533699590416 -0.7071067814259991]
NC2H6,0,[0.39334180827747006 -0.9121465904949091 -0.1151990421380424]
NF2,0,[0.5773452809751644 -0.4082553362981224 -0.7071067860795961]
NH2,0,[0.5773452844739796 -0.40825533972336153 -0.7071067812452532]
NHBr,0,[0.532622835243737 -0.7108243202904511 -0.4593927525119887]
NHCH3,0,[0.32270853201027927 -0.9463023838303753 0.019261405055696745]
NHCl,0,[0.5427353969202673 -0.6791077563660582 -0.49421750694735433]
NHF,0,[0.5688319745099603 -0.2540451375742606 -0.782234781155872]
PH3,0,[-0.333339127181419 -0.4714004239977114 0.8164965808530418]
sulfonyl-chloride,0,[0.013013387994709419 0.02235383031794185 -0.9996654230306337]
sulfonyl,0,[0.2711062034881871 0.46578794416402375 -0.8423437644463654]
